job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
1,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,immediate logistics logistics wire experience,salary experience salary salary experience,experience management experience experience experience,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
2,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,salary experience experience experience salary,salary experience management immediate salary,experience salary experience salary salary,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
3,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,salary management salary experience experience,salary salary salary logistics logistics,immediate experience experience experience experience,1,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
4,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,logistics experience logistics experience experience,experience experience experience salary experience,experience experience salary salary experience,0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
5,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,immediate immediate wire wire wire,immediate salary immediate immediate wire,immediate wire experience immediate immediate,1,0,1,Contract,Not Applicable,High School,Staffing,Admin,1
6,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,wire salary immediate immediate wire,wire wire logistics wire wire,immediate salary logistics logistics immediate,0,0,0,Contract,Not Applicable,High School,Staffing,Admin,1
7,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,immediate wire immediate wire logistics,experience immediate wire management wire,wire experience wire experience wire,1,0,1,Contract,Not Applicable,High School,Staffing,Admin,1
8,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,salary salary experience experience experience,salary salary salary experience experience,immediate salary experience experience experience,1,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
9,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience experience experience salary experience,management experience experience management salary,management immediate experience experience salary,0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
10,Hardware Engineer,"Medford, MA",ECE,80k-120k,Tufts University,experience experience logistics experience experience,salary salary salary salary experience,immediate experience management experience salary,1,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,Engineering,0
11,Data Entry Specialist,Remote,Finance,High Weekly Pay,Secure Hires Inc,wire salary immediate wire immediate,wire wire wire salary immediate,immediate immediate wire salary wire,1,0,0,Contract,Not Applicable,High School,Staffing,Admin,1
